Time,Utilization (%)
2024-01-23 18:25:13,0.5468
2024-01-23 18:24:13,0.4649
2024-01-23 18:23:13,0.4727
2024-01-23 18:22:13,0.4746
2024-01-23 18:21:13,0.4799
2024-01-23 18:20:13,0.4808
2024-01-23 18:19:13,0.4740
2024-01-23 18:18:13,0.4720
2024-01-23 18:17:13,0.4844
2024-01-23 18:16:13,0.4824
2024-01-23 18:15:13,0.4829
2024-01-23 18:14:13,0.4790
2024-01-23 18:13:13,0.4914
2024-01-23 18:12:13,0.4862
2024-01-23 18:11:13,0.4907
2024-01-23 18:10:13,0.4920
2024-01-23 18:09:13,0.4906
2024-01-23 18:08:13,0.4853
2024-01-23 18:07:13,0.4936
2024-01-23 18:06:13,0.4901
2024-01-23 18:05:13,0.4942
2024-01-23 18:04:13,0.4942
2024-01-23 18:03:13,0.4989
2024-01-23 18:02:13,0.4988
2024-01-23 18:01:13,0.4933
2024-01-23 18:00:13,0.4831
2024-01-23 17:59:13,0.4938
2024-01-23 17:58:13,0.4819
2024-01-23 17:57:13,0.4783
2024-01-23 17:56:13,0.4801
2024-01-23 17:55:13,0.4840
2024-01-23 17:54:13,0.4761
2024-01-23 17:53:13,0.4876
2024-01-23 17:52:13,0.4815
2024-01-23 17:51:13,0.4793
2024-01-23 17:50:13,0.4758
2024-01-23 17:49:13,0.4817
2024-01-23 17:48:13,0.4784
2024-01-23 17:47:13,0.4854
2024-01-23 17:46:13,0.4811
2024-01-23 17:45:13,0.4722
2024-01-23 17:44:13,0.4728
2024-01-23 17:43:13,0.4740
2024-01-23 17:42:13,0.4696
2024-01-23 17:41:13,0.4845
2024-01-23 17:40:13,0.4732
2024-01-23 17:39:13,0.4793
2024-01-23 17:38:13,0.4734
2024-01-23 17:37:13,0.4837
2024-01-23 17:36:13,0.4771
2024-01-23 17:35:13,0.4771
2024-01-23 17:34:13,0.4684
2024-01-23 17:33:13,0.4783
2024-01-23 17:32:13,0.4749
2024-01-23 17:31:13,0.4801
2024-01-23 17:30:13,0.4646
2024-01-23 17:29:13,0.4855
2024-01-23 17:28:13,0.4632
2024-01-23 17:27:13,0.4705
2024-01-23 17:26:13,0.4705
2024-01-23 17:25:13,0.4754
2024-01-23 17:24:13,0.4805
2024-01-23 17:23:13,0.4817
2024-01-23 17:22:13,0.4795
2024-01-23 17:21:13,0.5122
2024-01-23 17:20:13,0.4832
